kvk_id,season_id,kingdom_a,kingdom_b,prep_winner,castle_winner,attacker,defender,castle_captured,season_date,kvk_title,description,created_at,updated_at,kingdom_a_age_days,kingdom_b_age_days
3872,12,1,42,1,1,1,42,true,2026-03-28,KvK #12 (Latest),KvK #12 (Latest),2026-03-29T11:15:56.314Z,2026-03-29T11:15:56.314Z,397,370
3873,12,4,18,4,4,4,18,true,2026-03-28,KvK #12 (Latest),KvK #12 (Latest),2026-03-29T11:15:56.684Z,2026-03-29T11:15:56.684Z,393,379
3874,12,6,20,6,6,6,20,true,2026-03-28,KvK #12 (Latest),KvK #12 (Latest),2026-03-29T11:15:56.841Z,2026-03-29T11:15:56.841Z,391,378
3875,12,9,8,9,9,9,8,true,2026-03-28,KvK #12 (Latest),KvK #12 (Latest),2026-03-29T11:15:56.999Z,2026-03-29T11:15:56.999Z,388,389
3876,12,10,67,10,67,10,67,false,2026-03-28,KvK #12 (Latest),KvK #12 (Latest),2026-03-29T11:15:57.155Z,2026-03-29T11:15:57.155Z,387,363
3877,12,13,44,13,44,13,44,false,2026-03-28,KvK #12 (Latest),KvK #12 (Latest),2026-03-29T11:15:57.313Z,2026-03-29T11:15:57.313Z,384,370
3878,12,16,56,16,56,16,56,false,2026-03-28,KvK #12 (Latest),KvK #12 (Latest),2026-03-29T11:15:57.470Z,2026-03-29T11:15:57.470Z,381,366
3879,12,19,50,19,19,19,50,true,2026-03-28,KvK #12 (Latest),KvK #12 (Latest),2026-03-29T11:15:57.630Z,2026-03-29T11:15:57.630Z,378,368
3880,12,21,11,21,21,21,11,true,2026-03-28,KvK #12 (Latest),KvK #12 (Latest),2026-03-29T11:15:57.786Z,2026-03-29T11:15:57.786Z,378,386
3881,12,23,15,23,23,23,15,true,2026-03-28,KvK #12 (Latest),KvK #12 (Latest),2026-03-29T11:15:57.944Z,2026-03-29T11:15:57.944Z,377,382
3882,12,24,59,24,24,24,59,true,2026-03-28,KvK #12 (Latest),KvK #12 (Latest),2026-03-29T11:15:58.100Z,2026-03-29T11:15:58.100Z,377,365
3883,12,39,65,39,39,39,65,true,2026-03-28,KvK #12 (Latest),KvK #12 (Latest),2026-03-29T11:15:58.256Z,2026-03-29T11:15:58.256Z,371,363
