kvk_id,season_id,kingdom_a,kingdom_b,prep_winner,castle_winner,attacker,defender,castle_captured,season_date,kvk_title,description,created_at,updated_at,kingdom_a_age_days,kingdom_b_age_days
3,3,1,12,12,12,12,1,true,2025-07-19,KvK #3,a,2026-01-25T23:26:55.965Z,2026-01-25T23:26:55.965Z,145,133
11,3,2,16,2,2,2,16,true,2025-07-19,KvK #3,a,2026-01-25T23:26:55.999Z,2026-01-25T23:26:55.999Z,143,129
18,3,3,18,3,3,3,18,true,2025-07-19,KvK #3,a,2026-01-25T23:26:56.029Z,2026-01-25T23:26:56.029Z,142,127
25,3,4,7,4,4,4,7,true,2025-07-19,KvK #3,a,2026-01-25T23:26:56.056Z,2026-01-25T23:26:56.056Z,141,138
30,3,5,25,5,5,5,25,true,2025-07-19,KvK #3,a,2026-01-25T23:26:56.075Z,2026-01-25T23:26:56.075Z,140,125
35,3,6,13,6,6,6,13,true,2025-07-19,KvK #3,a,2026-01-25T23:26:56.093Z,2026-01-25T23:26:56.093Z,139,132
46,3,8,27,8,8,8,27,true,2025-07-19,KvK #3,a,2026-01-25T23:26:56.140Z,2026-01-25T23:26:56.140Z,137,124
54,3,9,28,28,9,28,9,false,2025-07-19,KvK #3,a,2026-01-25T23:26:56.176Z,2026-01-25T23:26:56.176Z,136,123
62,3,10,46,10,10,10,46,true,2025-07-19,KvK #3,a,2026-01-25T23:26:56.211Z,2026-01-25T23:26:56.211Z,135,117
66,3,11,14,11,11,11,14,true,2025-07-19,KvK #3,a,2026-01-25T23:26:56.225Z,2026-01-25T23:26:56.225Z,134,131
83,3,15,44,44,44,44,15,true,2025-07-19,KvK #3,a,2026-01-25T23:26:56.289Z,2026-01-25T23:26:56.289Z,130,118
94,3,17,42,42,17,42,17,false,2025-07-19,KvK #3,a,2026-01-25T23:26:56.325Z,2026-01-25T23:26:56.325Z,128,118
107,3,19,26,26,26,26,19,true,2025-07-19,KvK #3,a,2026-01-25T23:26:56.357Z,2026-01-25T23:26:56.357Z,126,124
111,3,20,59,59,59,59,20,true,2025-07-19,KvK #3,a,2026-01-25T23:26:56.372Z,2026-01-25T23:26:56.372Z,126,113
116,3,21,41,21,41,21,41,false,2025-07-19,KvK #3,a,2026-01-25T23:26:56.390Z,2026-01-25T23:26:56.390Z,126,119
121,3,22,43,43,43,43,22,true,2025-07-19,KvK #3,a,2026-01-25T23:26:56.403Z,2026-01-25T23:26:56.403Z,125,118
